Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,36.240002,38.75,33.849998,37.950001,36.426197,266802600
12/1/2018,39,39.610001,31.459999,33.450001,32.106888,227541200
1/1/2019,32.849998,39.139999,32.200001,39.02,37.847042,245901200
2/1/2019,38.91,40.740002,38.009998,39.48,38.293213,180097400
3/1/2019,39.849998,41.5,36.259998,37.099998,35.984753,179459600
4/1/2019,37.400002,40.450001,37.330002,38.950001,38.154079,159149400
5/1/2019,39,39.200001,33.150002,33.34,32.658714,219724700
6/1/2019,33.349998,38.990002,33.080002,38.529999,37.742657,175430400
7/1/2019,38.93,41,37.580002,40.34,39.939133,150765800
8/1/2019,41.259998,41.900002,35.580002,37.09,36.721428,151235200
9/1/2019,36.889999,39.779999,36.439999,37.48,37.107552,170562500
10/1/2019,37.470001,37.48,33.709999,36.610001,36.610001,153102600
